Step,Name,Mass,Density,Temperature,Pressure,Volume,Crystallized_frac,y_bottom,y_top
1,Liquid,96.28,2.39,1200,3,40.2845188284519,1,0,93.9940303688263
1,olivine,8.34,3.24,1200,3,2.57407407407407,1,93.9940303688263,100
1,Total solids,8.34,3.24,1200,3,2.57407407407407,1,0,0
1,System,104.62,2.44,1200,3,42.8770491803279,1,0,0
2,Liquid,95.43,2.39,1190,3,39.928870292887,0.101918465227818,0,93.3674721952377
2,olivine,9.19,3.24,1190,3,2.83641975308642,0.101918465227818,93.3674721952377,100
2,Total solids,0.85,3.24,1190,3,0.262345679012346,0.101918465227818,0,0
2,System,104.62,2.45,1190,3,42.7020408163265,0.101918465227818,0,0
3,Liquid,94.61,2.39,1180,3,39.5857740585774,0.0983213429256595,0,92.7621289290445
3,olivine,10.01,3.24081918081918,1180,3,3.08872523936055,0.0983213429256595,92.7621289290445,100
3,Total solids,0.82,3.25,1180,3,0.252307692307692,0.0983213429256595,0,0
3,System,104.62,2.45,1180,3,42.7020408163265,0.0983213429256595,0,0
4,Liquid,93.82,2.39,1170,3,39.255230125523,0.0947242206235012,0,92.1764287499173
4,olivine,10.8,3.24146296296296,1170,3,3.33182890670079,0.0947242206235012,92.1764287499173,100
4,Total solids,0.79,3.26,1170,3,0.242331288343558,0.0947242206235012,0,0
4,System,104.62,2.46,1170,3,42.5284552845528,0.0947242206235012,0,0
5,Liquid,93.07,2.39,1160,3,38.9414225941423,0.0911270983213429,0,91.6386293635432
5,olivine,11.55,3.25065800865801,1160,3,3.55312677286783,0.0911270983213429,91.6386293635432,100
5,Total solids,0.76,3.26,1160,3,0.233128834355828,0.0911270983213429,0,0
5,System,104.62,2.46,1160,3,42.5284552845528,0.0911270983213429,0,0
6,Liquid,92.34,2.39,1150,3,38.6359832635983,0.0875299760191846,0,91.0945366285877
6,olivine,12.28,3.25118892508143,1150,3,3.77707979541436,0.0875299760191846,91.0945366285877,100
6,Total solids,0.73,3.27,1150,3,0.223241590214067,0.0875299760191846,0,0
6,System,104.62,2.47,1150,3,42.3562753036437,0.0875299760191846,0,0
7,Liquid,91.64,2.39,1140,3,38.3430962343096,0.0839328537170264,0,90.5707731177833
7,olivine,12.98,3.25161787365177,1140,3,3.99185897739658,0.0839328537170264,90.5707731177833,100
7,Total solids,0.7,3.28,1140,3,0.213414634146341,0.0839328537170264,0,0
7,System,104.62,2.47,1140,3,42.3562753036437,0.0839328537170264,0,0
8,Liquid,90.96,2.39,1130,3,38.0585774058577,0.0815347721822542,0,90.0862049805505
8,olivine,13.66,3.2614934114202,1130,3,4.18826539773748,0.0815347721822542,90.0862049805505,100
